TRX_ID,JRSTORE,JRREGNUM,JRDATE,JRTIME,JRCASHIER,JRCUST
36932893,650381,002,2015-02-27 00:00:00.000000000,12:57,04682,54079
36932895,650381,002,2015-02-27 00:00:00.000000000,14:37,04682,1931164
36932897,650381,002,2015-02-27 00:00:00.000000000,16:42,04682,1904238
36932909,650441,002,2015-02-27 00:00:00.000000000,16:09,12515,0
36932929,650441,002,2015-02-27 00:00:00.000000000,14:23,12515,711841
36932931,650441,002,2015-02-27 00:00:00.000000000,16:30,12515,1119565
36932932,650441,002,2015-02-27 00:00:00.000000000,16:49,04996,0
36932934,650441,002,2015-02-27 00:00:00.000000000,18:38,04996,0
36932935,650441,002,2015-02-27 00:00:00.000000000,19:12,04996,1720282
36932939,650441,002,2015-02-27 00:00:00.000000000,20:04,04996,0
36932941,650441,002,2015-02-27 00:00:00.000000000,20:17,04996,94486
36932947,65038,001,2015-02-27 00:00:00.000000000,13:47,04682,2043851
36932948,65038,001,2015-02-27 00:00:00.000000000,15:31,04682,2043852
36932949,65038,001,2015-02-27 00:00:00.000000000,16:31,04682,1792714
36932951,65038,001,2015-02-27 00:00:00.000000000,20:26,12429,0
36932957,650381,002,2015-02-27 00:00:00.000000000,15:18,04682,0
36932958,650381,002,2015-02-27 00:00:00.000000000,18:06,12429,1972766
36932960,650381,002,2015-02-27 00:00:00.000000000,18:43,12429,2043853
36932975,65044,001,2015-02-27 00:00:00.000000000,14:46,12515,1965225
36932976,65044,001,2015-02-27 00:00:00.000000000,14:49,12515,0
36932996,65043,001,2015-02-27 00:00:00.000000000,12:25,12501,2043877
36932997,65043,001,2015-02-27 00:00:00.000000000,14:18,12501,232810
36932999,65043,001,2015-02-27 00:00:00.000000000,15:22,12501,0
36933002,65043,001,2015-02-27 00:00:00.000000000,17:15,12504,672982
36933014,65043,001,2015-02-27 00:00:00.000000000,12:28,12501,52458
36933020,65043,001,2015-02-27 00:00:00.000000000,18:44,12504,841214
36933022,65043,001,2015-02-27 00:00:00.000000000,19:34,12504,0
36933029,65043,001,2015-02-27 00:00:00.000000000,11:59,12501,901146
36933031,65043,001,2015-02-27 00:00:00.000000000,13:47,12501,2018024
36933032,65043,001,2015-02-27 00:00:00.000000000,15:03,12501,2043881
36933034,65043,001,2015-02-27 00:00:00.000000000,15:21,12501,1997669
36933035,65043,001,2015-02-27 00:00:00.000000000,15:39,12501,2043878
36933036,65043,001,2015-02-27 00:00:00.000000000,16:22,12501,0
36933039,65043,001,2015-02-27 00:00:00.000000000,18:40,12504,2043879
36933040,65043,001,2015-02-27 00:00:00.000000000,18:50,12504,371076
36933041,65043,001,2015-02-27 00:00:00.000000000,19:11,12504,0
36933045,65058,001,2015-02-27 00:00:00.000000000,10:26,14533,2043698
36933046,65058,001,2015-02-27 00:00:00.000000000,14:32,14533,0
36933047,65058,001,2015-02-27 00:00:00.000000000,16:35,14533,881112
36933048,65058,001,2015-02-27 00:00:00.000000000,17:19,14533,112503
36933054,65058,001,2015-02-27 00:00:00.000000000,21:18,14533,120737
36933058,65060,001,2015-02-27 00:00:00.000000000,13:48,06632,330219
36933060,65060,001,2015-02-27 00:00:00.000000000,14:52,06632,313699
36933071,65058,001,2015-02-27 00:00:00.000000000,15:02,14533,1914896
36933072,65058,001,2015-02-27 00:00:00.000000000,15:53,14533,0
36933076,65058,001,2015-02-27 00:00:00.000000000,17:38,14533,2015130
