barcode,cat_code,cat_desc,rng_code,rng_desc,sku_code,sku_desc,lifecycle_desc,contents_unit,contents_value,physical_height,physical_length,physical_width,physical_unit,weight_unit,weight_value
2000000145785,19,CELEBRATIONS/10,011,BATH & BODY,0000000016176,GIFT BOX MDM OLIVE VL 11,UNKNOWN,,,,,,,Grams,1
190114729,19,CELEBRATIONS/10,011,BATH & BODY,0000000016182,GIFT TRIO BUTTER VL11 C,UNKNOWN,,,,,,,Grams,1
2000000145846,19,CELEBRATIONS/10,011,BATH & BODY,0000000016182,GIFT TRIO BUTTER VL11 C,UNKNOWN,,,,,,,Grams,1
190114886,19,CELEBRATIONS/10,011,BATH & BODY,0000000016222,GIFT TUBE 5 BORN LIPPY VL 11,UNKNOWN,,,,,,,Grams,1
2000000146041,19,CELEBRATIONS/10,011,BATH & BODY,0000000016222,GIFT TUBE 5 BORN LIPPY VL 11,UNKNOWN,,,,,,,Grams,1
145560175,14,MENS/5,556,MACCA ROOT,0000000016242,MACAROOT SKIN CARE KIT,UNKNOWN,,,,,,,Grams,1
2000000146249,14,MENS/5,556,MACCA ROOT,0000000016242,MACAROOT SKIN CARE KIT,UNKNOWN,,,,,,,Grams,1
101060242,10,FACIAL SKIN CARE/1,106,ALOE VERA,0000000016243,NEW ALOE VERA SKIN CARE KIT,UNKNOWN,,,,,,,Grams,1
2000000146256,10,FACIAL SKIN CARE/1,106,ALOE VERA,0000000016243,NEW ALOE VERA SKIN CARE KIT,UNKNOWN,,,,,,,Grams,1
101080323,10,FACIAL SKIN CARE/1,108,SEAWEED,0000000016244,NEW SEAWEED SKIN CARE KIT,UNKNOWN,,,,,,,Grams,1
2000000146263,10,FACIAL SKIN CARE/1,108,SEAWEED,0000000016244,NEW SEAWEED SKIN CARE KIT,UNKNOWN,,,,,,,Grams,1
101010453,10,FACIAL SKIN CARE/1,101,VITAMIN E,0000000016245,NEW VIT E SKIN CARE KIT,UNKNOWN,,,,,,,Grams,1
2000000146270,10,FACIAL SKIN CARE/1,101,VITAMIN E,0000000016245,NEW VIT E SKIN CARE KIT,UNKNOWN,,,,,,,Grams,1
101030500,10,FACIAL SKIN CARE/1,103,TEA TREE,0000000016247,TEA TREE SKIN CARE KIT 11,UNKNOWN,,,,,,,Grams,1
2000000146294,10,FACIAL SKIN CARE/1,103,TEA TREE,0000000016247,TEA TREE SKIN CARE KIT 11,UNKNOWN,,,,,,,Grams,1
2000000146447,50,GWP/15,999,OTHERS,0000000016263,FREE - CUCUMBER CLEANSING MILK 250ML,UNKNOWN,,,,,,,Grams,1
509993847,50,GWP/15,999,OTHERS,0000000016263,FREE - CUCUMBER CLEANSING MILK 250ML,UNKNOWN,,,,,,,Grams,1
2000000146645,50,GWP/15,999,OTHERS,0000000016282,FREE- CUCUMBER FRESH WATER 250ML,UNKNOWN,,,,,,,Grams,1
509993855,50,GWP/15,999,OTHERS,0000000016282,FREE- CUCUMBER FRESH WATER 250ML,UNKNOWN,,,,,,,Grams,1
2000000146652,50,GWP/15,999,OTHERS,0000000016283,FREE - PASSFRUIT F/CLEAN GEL 250ML,UNKNOWN,,,13,6,6,Centimeter,Grams,283
509993863,50,GWP/15,999,OTHERS,0000000016283,FREE - PASSFRUIT F/CLEAN GEL 250ML,UNKNOWN,,,13,6,6,Centimeter,Grams,283
2000000146669,50,GWP/15,999,OTHERS,0000000016284,FREE - MACAROOT RAZOR RELIEF 50ML,UNKNOWN,,,,,,,Grams,1
509993889,50,GWP/15,999,OTHERS,0000000016284,FREE - MACAROOT RAZOR RELIEF 50ML,UNKNOWN,,,,,,,Grams,1
2000000146676,50,GWP/15,999,OTHERS,0000000016285,FREE - ARBER H/B WASH 75ML,UNKNOWN,,,,,,,Grams,1
509993871,50,GWP/15,999,OTHERS,0000000016285,FREE - ARBER H/B WASH 75ML,UNKNOWN,,,,,,,Grams,1
