barcode,cat_code,cat_desc,rng_code,rng_desc,sku_code,sku_desc,lifecycle_desc,contents_unit,contents_value,physical_height,physical_length,physical_width,physical_unit,weight_unit,weight_value
2000000143552,50,GWP/15,801,BAG,0000000015953,GWP-CASE VANITY PEACH FLORAL SU 10,UNKNOWN,,,,,,,Grams,1
508011781,50,GWP/15,801,BAG,0000000015953,GWP-CASE VANITY PEACH FLORAL SU 10,UNKNOWN,,,,,,,Grams,1
2000000143569,50,GWP/15,801,BAG,0000000015954,GWP-BAG TOILETRY YELL/WHI SPOT SU10,UNKNOWN,,,21,27,8,Centimeter,Grams,53
508011757,50,GWP/15,801,BAG,0000000015954,GWP-BAG TOILETRY YELL/WHI SPOT SU10,UNKNOWN,,,21,27,8,Centimeter,Grams,53
2000000143576,50,GWP/15,801,BAG,0000000015955,GWP-BAG ORGANIZER LILAC FLORAL SU10,UNKNOWN,,,,,,,Grams,1
508011773,50,GWP/15,801,BAG,0000000015955,GWP-BAG ORGANIZER LILAC FLORAL SU10,UNKNOWN,,,,,,,Grams,1
2000000143583,50,GWP/15,801,BAG,0000000015956,GWP-CASE VANITY MED BRIGHT FLORAL SU10,UNKNOWN,,,,,,,Grams,1
508011799,50,GWP/15,801,BAG,0000000015956,GWP-CASE VANITY MED BRIGHT FLORAL SU10,UNKNOWN,,,,,,,Grams,1
2000000143590,50,GWP/15,801,BAG,0000000015957,GWP-BAG SET OF 2 BRIGHT FLORAL SU10,UNKNOWN,,,,,,,Grams,1
508011765,50,GWP/15,801,BAG,0000000015957,GWP-BAG SET OF 2 BRIGHT FLORAL SU10,UNKNOWN,,,,,,,Grams,1
190114703,19,CELEBRATIONS/10,011,BATH & BODY,0000000015958,GIFT TUBE BORN LIPPY-B XM10,UNKNOWN,,,,,,,Grams,1
