TRX_ID,JRSTORE,JRREGNUM,JRDATE,JRTIME,JRCASHIER,JRCUST
36953417,651041,002,2015-02-28 00:00:00.000000000,18:23,05212,713042
36953419,651041,002,2015-02-28 00:00:00.000000000,19:26,05212,6821
36953421,651041,002,2015-02-28 00:00:00.000000000,19:35,05212,0
36953422,651041,002,2015-02-28 00:00:00.000000000,19:47,05212,2026741
36953430,65108,001,2015-02-28 00:00:00.000000000,11:15,07431,200323
36953434,65108,001,2015-02-28 00:00:00.000000000,17:26,05968,0
36953435,65108,001,2015-02-28 00:00:00.000000000,18:33,05968,1881663
36953436,65108,001,2015-02-28 00:00:00.000000000,19:21,05968,2044590
36953440,65108,001,2015-02-28 00:00:00.000000000,20:36,05968,0
36953441,65108,001,2015-02-28 00:00:00.000000000,20:54,05968,0
36953442,65108,001,2015-02-28 00:00:00.000000000,21:03,05968,2044583
36953462,65104,001,2015-02-28 00:00:00.000000000,13:24,14309,1598283
36953463,65104,001,2015-02-28 00:00:00.000000000,16:25,05212,0
36953464,65104,001,2015-02-28 00:00:00.000000000,19:29,05212,835251
36953466,65104,001,2015-02-28 00:00:00.000000000,19:39,05212,430284
36953477,65108,001,2015-02-28 00:00:00.000000000,11:22,07431,0
36953479,65108,001,2015-02-28 00:00:00.000000000,12:33,07431,1930393
36953482,65108,001,2015-02-28 00:00:00.000000000,14:19,07431,17460
36953483,65108,001,2015-02-28 00:00:00.000000000,14:41,07431,377333
36953484,65108,001,2015-02-28 00:00:00.000000000,15:52,07431,1880510
36953485,65108,001,2015-02-28 00:00:00.000000000,15:59,07431,0
36953508,651041,002,2015-02-28 00:00:00.000000000,13:19,14309,227128
36953510,651041,002,2015-02-28 00:00:00.000000000,14:50,05212,325407
36953511,651041,002,2015-02-28 00:00:00.000000000,14:59,05212,1370089
36953513,651041,002,2015-02-28 00:00:00.000000000,16:59,05212,1775228
36953516,651041,002,2015-02-28 00:00:00.000000000,18:39,05212,1973953
